Country,jurisdiction,2014,2010,1990,1991,1992,1994,1995,1996,1999,2003,1988,1989,1993,1997,2000,2001,2002,2004,2009,2011,2007,2012,2005,2006,2008,1998,1972,1978,1984,1985,1986,1987,2015,2013,2016,1980,2017,1982,1983,1975,1981,1977,1957,1976,1979,1956,1918,1973,1967,1951,1952,1969,1974,1968,1971,1966,1970,1962,1945,1954,1955,1963,1964,1965,1936,1958,1959,1930,1961,Country_name
56,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium
56,92,2.0,,,,,2.0,3.0,,,,,,1.0,2.0,1.0,3.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium
56,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium
56,591,2.0,,,1.0,,,,1.0,,1.0,,2.0,5.0,3.0,,,2.0,,2.0,1.0,,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium
56,882,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium
56,690,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium
84,44,1.0,1.0,,,,,,6.0,9.0,7.0,,,,5.0,15.0,26.0,21.0,2.0,4.0,7.0,3.0,3.0,1.0,,3.0,5.0,,,,,,,9.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belize
84,660,1.0,5.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belize
84,92,,,,,,,4.0,,14.0,,,,,1.0,37.0,7.0,4.0,2.0,4.0,4.0,1.0,,2.0,4.0,5.0,50.0,,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belize
84,344,2.0,9.0,,,,,,,,4.0,,,,,,,5.0,,5.0,,4.0,3.0,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belize
84,570,,,,,,,,5.0,9.0,8.0,,,,22.0,46.0,55.0,29.0,1.0,,,7.0,,12.0,17.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belize
84,591,9.0,9.0,,,,1.0,2.0,,8.0,22.0,,,3.0,1.0,3.0,9.0,88.0,5.0,10.0,9.0,13.0,11.0,14.0,13.0,27.0,,,,,,,,15.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belize
84,882,6.0,5.0,,,,,,,,,,,,,,,,,,6.0,,3.0,,1.0,4.0,,,,,,,,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belize
84,690,5.0,9.0,,,,,,,,30.0,,,,,,17.0,14.0,5.0,1.0,5.0,14.0,8.0,9.0,9.0,23.0,,,,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belize
84,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belize
